product_id;status;current_handle;new_handle;rule;variant_count;variant_skus
15359990301002;ACTIVE;35175914201-717;35.175.914.20x;multi_variant_suffix_x;5;35.175.914.201,35.175.914.202,35.175.914.203,35.175.914.204,35.175.914.205
15360020316490;ACTIVE;35175114201-989;35.175.114.20x;multi_variant_suffix_x;5;35.175.114.201,35.175.114.202,35.175.114.203,35.175.114.204,35.175.114.205
15360055214410;ACTIVE;35174114201-1329;35.174.114.20x;multi_variant_suffix_x;5;35.174.114.201,35.174.114.202,35.174.114.203,35.174.114.204,35.174.114.205
15360088473930;ACTIVE;35173314201-1601;35.173.314.20x;multi_variant_suffix_x;5;35.173.314.201,35.173.314.202,35.173.314.203,35.173.314.204,35.173.314.205
15360167477578;ACTIVE;35170414201-2381;35.170.414.20x;multi_variant_suffix_x;5;35.170.414.201,35.170.414.202,35.170.414.203,35.170.414.204,35.170.414.205
15360181371210;ACTIVE;35169614201-2585;35.169.614.20x;multi_variant_suffix_x;5;35.169.614.201,35.169.614.202,35.169.614.203,35.169.614.204,35.169.614.205
15359990399306;ACTIVE;35175914516-718;35.175.914.51x;multi_variant_suffix_x;2;35.175.914.516,35.175.914.517
15360020382026;ACTIVE;35175114516-990;35.175.114.51x;multi_variant_suffix_x;2;35.175.114.516,35.175.114.517
15360055279946;ACTIVE;35174114516-1330;35.174.114.51x;multi_variant_suffix_x;2;35.174.114.516,35.174.114.517
15360088539466;ACTIVE;35173314516-1602;35.173.314.51x;multi_variant_suffix_x;2;35.173.314.516,35.173.314.517
15360167543114;ACTIVE;35170414516-2382;35.170.414.51x;multi_variant_suffix_x;2;35.170.414.516,35.170.414.517
15360181403978;ACTIVE;35169614516-2586;35.169.614.51x;multi_variant_suffix_x;2;35.169.614.516,35.169.614.517
15359990563146;ACTIVE;35175913564-720;35.175.913.56x;multi_variant_suffix_x;4;35.175.913.564,35.175.913.565,35.175.913.566,35.175.913.567
15360020513098;ACTIVE;35175113564-992;35.175.113.56x;multi_variant_suffix_x;4;35.175.113.564,35.175.113.565,35.175.113.566,35.175.113.567
15360055476554;ACTIVE;35174113564-1332;35.174.113.56x;multi_variant_suffix_x;4;35.174.113.564,35.174.113.565,35.174.113.566,35.174.113.567
15360088736074;ACTIVE;35173313564-1604;35.173.313.56x;multi_variant_suffix_x;4;35.173.313.564,35.173.313.565,35.173.313.566,35.173.313.567
15360167739722;ACTIVE;35170413564-2384;35.170.413.56x;multi_variant_suffix_x;4;35.170.413.564,35.170.413.565,35.170.413.566,35.170.413.567
15360181502282;ACTIVE;35169613564-2588;35.169.613.56x;multi_variant_suffix_x;4;35.169.613.564,35.169.613.565,35.169.613.566,35.169.613.567
15359991021898;ACTIVE;35175914287-725;35.175.914.287;single_variant_exact_sku;1;35.175.914.287
15360020808010;ACTIVE;35175114287-997;35.175.114.287;single_variant_exact_sku;1;35.175.114.287
15360055935306;ACTIVE;35174114287-1337;35.174.114.287;single_variant_exact_sku;1;35.174.114.287
